iter	MultiClass
0	1.03545547
1	0.9886324757
2	0.9515146304
3	0.9228201727
4	0.9019861057
5	0.8838176514
6	0.8692365436
7	0.8577047395
8	0.8483512576
9	0.8259131725
10	0.808037087
11	0.7939444006
12	0.7810820519
13	0.771964283
14	0.7628698336
15	0.757918077
16	0.7523896879
17	0.7476946891
18	0.7432232481
19	0.7396447538
20	0.7367148765
21	0.7340931451
22	0.7319323074
23	0.7303676282
24	0.7293540607
25	0.7277039533
26	0.7270891007
27	0.7261357096
28	0.7250142179
29	0.7243012733
30	0.7235418725
31	0.7231308257
32	0.7224885159
33	0.7221382103
34	0.7219465107
35	0.7217461107
36	0.7215355312
37	0.7210262474
38	0.720626781
39	0.7201682604
40	0.7198400087
41	0.719394328
42	0.7192141767
43	0.7185759452
44	0.7184427307
45	0.7180107079
46	0.7178619662
47	0.7176857613
48	0.7172763077
49	0.717168167
50	0.7170260442
51	0.7169070688
52	0.7164817399
53	0.7162823567
54	0.7160585258
55	0.7155934188
56	0.7153120638
57	0.7149285279
58	0.7147791854
59	0.7146767916
60	0.7144564761
61	0.7142962121
62	0.7141989003
63	0.7140352708
64	0.7138361863
65	0.7136927393
66	0.7132866881
67	0.7130054643
68	0.7128751913
69	0.7128555899
70	0.7125557356
71	0.7122514671
72	0.712149123
73	0.7120582064
74	0.7119298905
75	0.7118323912
76	0.7116056119
77	0.7112447623
78	0.7111376765
79	0.7110576964
80	0.710623367
81	0.7103189057
82	0.7097286259
83	0.7096773017
84	0.7092564674
85	0.7087534011
86	0.7084674417
87	0.7082796628
88	0.7081062803
89	0.7076946495
90	0.7072171664
91	0.7071108981
92	0.7069692049
93	0.7067613352
94	0.7064563955
95	0.7062422586
96	0.705905826
97	0.7057013336
98	0.7052925656
99	0.7051911807
100	0.7049546005
101	0.704826232
102	0.704530935
103	0.7043194866
104	0.7039528462
105	0.7036503679
106	0.70336605
107	0.7033171976
108	0.7031277261
109	0.7028680796
110	0.7024142052
111	0.7021009131
112	0.7019655525
113	0.7018591569
114	0.701636136
115	0.7015119771
116	0.7012567131
117	0.7010922678
118	0.7009879297
119	0.7008064447
120	0.7007291861
121	0.7004951275
122	0.7003255248
123	0.700291481
124	0.7001252436
125	0.6998763603
126	0.6996672226
127	0.6995213118
128	0.6993072636
129	0.6990377851
130	0.6989046107
131	0.69875623
132	0.6986068714
133	0.6984934448
134	0.6982115055
135	0.6981567262
136	0.6980424864
137	0.6978034954
138	0.6975484847
139	0.6973557897
140	0.6971914784
141	0.6969896276
142	0.6968400305
143	0.6966833419
144	0.6965524166
145	0.6963608791
146	0.6959215525
147	0.6958374642
148	0.6955536876
149	0.6954201953
150	0.6952194081
151	0.6950932824
152	0.6948672863
153	0.6947071595
154	0.6945588821
155	0.6943116538
156	0.6940089305
157	0.6938397176
158	0.6936530534
159	0.6934135724
160	0.6932419907
161	0.6931159309
162	0.6930302726
163	0.6927322881
164	0.6925120138
165	0.6924183676
166	0.692257542
167	0.6920406063
168	0.6917599073
169	0.6916285199
170	0.6912948242
171	0.6910271696
172	0.6908532026
173	0.6905846758
174	0.6904621221
175	0.6902571711
176	0.6899514039
177	0.6898464598
178	0.689675918
179	0.6892725099
180	0.6891548587
181	0.6889216698
182	0.6888464802
183	0.6885020762
184	0.6884100292
185	0.6882400427
186	0.6879234288
187	0.6877901885
188	0.6874380888
189	0.6872329588
190	0.6871364537
191	0.6868668423
192	0.6867700658
193	0.6867380108
194	0.6866859346
195	0.6865912816
196	0.6864171926
197	0.6862035863
198	0.6860399429
199	0.6859450173
200	0.6857495478
201	0.6855365262
202	0.6853123123
203	0.6849309133
204	0.6847922495
205	0.684634268
206	0.6843930983
207	0.6842981496
208	0.6842038321
209	0.6840979003
210	0.6838613977
211	0.6835388401
212	0.6833683234
213	0.6831213102
214	0.6827512166
215	0.6826086681
216	0.6823971323
217	0.6822658178
218	0.6820386271
219	0.6818508551
220	0.6815951617
221	0.6815179129
222	0.6813811068
223	0.6812600913
224	0.6809237098
225	0.6807413992
226	0.6805941303
227	0.6804754927
228	0.6803806136
229	0.6802908321
230	0.6800795537
231	0.6798485697
232	0.6797219809
233	0.6795860528
234	0.6793197976
235	0.6790477832
236	0.6788008327
237	0.6784912371
238	0.6782908787
239	0.6782315192
240	0.6781408455
241	0.677997479
242	0.6777735555
243	0.6776683186
244	0.6775857608
245	0.6774499401
246	0.6772518948
247	0.6771949259
248	0.677107424
249	0.6770176262
250	0.6766898178
251	0.676543765
252	0.6764981608
253	0.6764470208
254	0.6763453876
255	0.6761364181
256	0.6759111214
257	0.6757766371
258	0.675568789
259	0.6752773682
260	0.6750996309
261	0.6750021869
262	0.674720114
263	0.6746363861
264	0.6745161824
265	0.6744068605
266	0.6743340441
267	0.6741497945
268	0.6740556796
269	0.6739511749
270	0.6738143735
271	0.6734682417
272	0.6732738852
273	0.6731541354
274	0.6730926551
275	0.6730164778
276	0.6729171739
277	0.6728365113
278	0.6725416836
279	0.6724711749
280	0.6723710612
281	0.6723157424
282	0.6722334761
283	0.6721290822
284	0.6720368873
285	0.6719033078
286	0.6716907623
287	0.6715081741
288	0.6713199315
289	0.6711798329
290	0.671037865
291	0.670951431
292	0.6708548476
293	0.6707257737
294	0.6706753367
295	0.6703701827
296	0.6702777713
297	0.6701388925
298	0.6700503466
299	0.669868142
300	0.669799376
301	0.6697087891
302	0.6696197096
303	0.6695926723
304	0.6693581425
305	0.669128785
306	0.6689481769
307	0.6688738411
308	0.6687950936
309	0.6687088098
310	0.6686292185
311	0.6683042176
312	0.668060737
313	0.6679720811
314	0.6678360248
315	0.6675676115
316	0.6675106109
317	0.6671612062
318	0.6671015311
319	0.6669951626
320	0.6669104368
321	0.6666974556
322	0.6665948914
323	0.6665414735
324	0.6664961961
325	0.6664133876
326	0.6661682849
327	0.6659551802
328	0.6659108056
329	0.6658644829
330	0.6657845637
331	0.6655324653
332	0.6653881905
333	0.665120716
334	0.6648242293
335	0.6646730254
336	0.6645242573
337	0.6642557096
338	0.6641455777
339	0.6639671016
340	0.6638892158
341	0.6637208693
342	0.6635208267
343	0.663183452
344	0.6630064965
345	0.6627308285
346	0.6626411042
347	0.6624132815
348	0.6622889351
349	0.6621691594
350	0.6620054066
351	0.6618217461
352	0.6617976245
353	0.6617024656
354	0.6616420942
355	0.6615237974
356	0.6613117766
357	0.6612507764
358	0.6611546021
359	0.6610035615
360	0.6608187718
361	0.6607489597
362	0.6606656679
