iter	Passed	Remaining
0	35	35724
1	48	24108
2	65	21648
3	80	20001
4	108	21637
5	140	23335
6	174	24690
7	192	23874
8	223	24596
9	253	25143
10	282	25389
11	304	25062
12	328	24910
13	353	24914
14	382	25121
15	411	25286
16	437	25316
17	460	25119
18	481	24853
19	510	25017
20	534	24927
21	557	24761
22	578	24594
23	603	24523
24	625	24409
25	654	24529
26	667	24044
27	690	23984
28	711	23807
29	734	23739
30	761	23809
31	794	24048
32	825	24184
33	851	24194
34	878	24223
35	910	24373
36	924	24065
37	957	24228
38	987	24339
39	1011	24283
40	1043	24402
41	1071	24435
42	1103	24559
43	1133	24617
44	1164	24717
45	1197	24843
46	1230	24946
47	1262	25031
48	1293	25109
49	1323	25141
50	1356	25245
51	1388	25307
52	1420	25387
53	1451	25430
54	1486	25533
55	1520	25623
56	1553	25700
57	1584	25740
58	1619	25824
59	1648	25830
60	1677	25820
61	1716	25961
62	1743	25930
63	1771	25913
64	1803	25940
65	1836	25986
66	1866	25992
67	1892	25933
68	1928	26016
69	1939	25770
70	1969	25767
71	2003	25822
72	2032	25810
73	2063	25822
74	2090	25788
75	2126	25847
76	2154	25823
77	2187	25856
78	2218	25859
79	2249	25874
80	2276	25830
81	2310	25867
82	2337	25821
83	2372	25867
84	2398	25820
85	2432	25854
86	2464	25863
87	2494	25856
88	2529	25888
89	2556	25852
90	2586	25832
91	2619	25850
92	2652	25872
93	2686	25888
94	2718	25898
95	2754	25936
96	2784	25925
97	2814	25905
98	2851	25953
99	2882	25940
100	2914	25937
101	2948	25957
102	2979	25948
103	3012	25951
104	3045	25961
105	3078	25963
106	3110	25958
107	3145	25982
108	3179	25993
109	3207	25954
110	3239	25945
111	3272	25946
112	3302	25920
113	3340	25959
114	3372	25955
115	3404	25948
116	3439	25960
117	3470	25942
118	3501	25922
119	3534	25919
120	3566	25909
121	3601	25915
122	3638	25940
123	3668	25918
124	3703	25922
125	3738	25932
126	3772	25930
127	3804	25919
128	3834	25888
129	3870	25901
130	3903	25895
131	3938	25897
132	3969	25878
133	4000	25853
134	4033	25842
135	4068	25846
136	4095	25799
137	4129	25796
138	4161	25776
139	4196	25779
140	4228	25761
141	4258	25733
142	4294	25734
143	4326	25719
144	4360	25709
145	4395	25710
146	4428	25698
147	4459	25674
148	4491	25650
149	4527	25657
150	4559	25637
151	4595	25640
152	4625	25608
153	4660	25602
154	4694	25591
155	4726	25573
156	4758	25549
157	4789	25521
158	4821	25504
159	4853	25478
160	4890	25487
161	4934	25523
162	4972	25534
163	5005	25515
164	5039	25502
165	5074	25494
166	5110	25492
167	5141	25462
168	5178	25465
169	5213	25452
170	5245	25431
171	5275	25396
172	5306	25368
173	5340	25353
174	5376	25348
175	5410	25331
176	5448	25335
177	5482	25316
178	5514	25294
179	5544	25258
180	5582	25257
181	5616	25243
182	5650	25227
183	5684	25209
184	5714	25175
185	5751	25170
186	5788	25166
187	5823	25153
188	5852	25114
189	5883	25080
190	5911	25040
191	5945	25021
192	5980	25006
193	6016	24997
