,gender,car,reality,child_num,income_total,income_type,edu_type,family_type,house_type,DAYS_BIRTH,DAYS_EMPLOYED,work_phone,phone,email,occyp_type,family_size,begin_month,credit,DAYS_EMPLOYED_r,credit_r
0,F,N,N,0,202500.0,Commercial associate,Higher education,Married,Municipal apartment,38,12,0,0,0,Security staff,2.0,6.0,1.0,12.9,1.0
1,F,N,Y,1,247500.0,Commercial associate,Secondary / secondary special,Civil marriage,House / apartment,31,4,0,0,1,Laborers,3.0,5.0,1.0,4.22,1.0
2,M,Y,Y,0,450000.0,Working,Higher education,Married,House / apartment,52,12,0,1,0,Managers,2.0,22.0,2.0,12.15,3.0
3,F,N,Y,0,202500.0,Commercial associate,Secondary / secondary special,Married,House / apartment,41,5,0,1,0,Sales staff,2.0,37.0,0.0,5.73,0.0
4,F,Y,Y,0,157500.0,State servant,Higher education,Married,House / apartment,41,5,0,0,0,Managers,2.0,26.0,2.0,5.77,4.0
5,F,N,Y,2,270000.0,Working,Secondary / secondary special,Married,House / apartment,36,13,0,0,1,High skill tech staff,4.0,18.0,1.0,13.69,1.0
6,F,N,N,0,315000.0,Working,Secondary / secondary special,Separated,House / apartment,48,5,0,0,1,Core staff,1.0,41.0,2.0,5.42,5.0
7,M,N,Y,0,270000.0,Commercial associate,Secondary / secondary special,Married,House / apartment,40,14,0,0,1,Drivers,2.0,53.0,0.0,14.85,0.0
8,M,Y,Y,1,180000.0,Commercial associate,Higher education,Married,House / apartment,41,4,0,0,1,Core staff,3.0,38.0,2.0,4.02,3.0
9,F,N,Y,0,103500.0,Working,Secondary / secondary special,Married,House / apartment,43,3,0,0,0,Medicine staff,2.0,5.0,2.0,3.58,3.0
10,F,N,Y,0,193500.0,Working,Secondary / secondary special,Separated,House / apartment,52,6,1,1,1,Laborers,1.0,40.0,2.0,6.06,5.0
11,M,Y,Y,1,135000.0,Commercial associate,Higher education,Married,House / apartment,32,0,0,0,0,Managers,3.0,51.0,2.0,0.25,3.0
12,F,Y,Y,1,157500.0,Commercial associate,Secondary / secondary special,Married,House / apartment,32,5,0,0,0,Accountants,3.0,60.0,0.0,5.92,0.0
13,F,N,N,0,135000.0,Working,Higher education,Married,House / apartment,27,6,0,1,0,Sales staff,2.0,41.0,2.0,6.78,4.0
14,F,N,Y,0,157500.0,Pensioner,Secondary / secondary special,Single / not married,House / apartment,62,0,0,1,0,job_less,1.0,41.0,2.0,-0.0,5.0
